Epoch;train_CER;val_CER
0;0.842857301;0.698016107
1;0.702933252;0.685314119
2;0.69321996;0.680808783
3;0.689207375;0.678683639
4;0.686885297;0.677160859
5;0.685331583;0.675935626
6;0.684209049;0.675067842
7;0.683347821;0.67483443
8;0.682609499;0.674000204
9;0.682010889;0.673643529
10;0.681494296;0.673265874
11;0.681049943;0.673418939
12;0.680707574;0.67278403
13;0.680365741;0.672338128
14;0.680053651;0.672169507
15;0.679798186;0.672056019
16;0.67954433;0.672008097
17;0.679296792;0.671860933
18;0.67907697;0.671540558
19;0.678887904;0.671259701
20;0.678700566;0.671495438
21;0.678549886;0.671209872
22;0.678393066;0.671729982
23;0.678243995;0.670875728
24;0.678080261;0.670752227